---------------------------------------------------------------------------------------------------------------
  Module Name                             | Clock Name                             | Supported Frequencies(Hz) 
---------------------------------------------------------------------------------------------------------------
 * PMHAL_PRCM_MOD_AES0                    | PMHAL_PRCM_CLK_L3_GCLK                 | 200000000
 * PMHAL_PRCM_MOD_CPGMAC0                 | PMHAL_PRCM_CLK_CPSW_125MHZ_GCLK        | 125000000
 * PMHAL_PRCM_MOD_CPGMAC0                 | PMHAL_PRCM_CLK_CPSW_250MHZ_CLK         | 250000000
 * PMHAL_PRCM_MOD_CPGMAC0                 | PMHAL_PRCM_CLK_CPSW_50MHZ_GCLK         | 50000000
 * PMHAL_PRCM_MOD_CPGMAC0                 | PMHAL_PRCM_CLK_CPSW_5MHZ_GCLK          | 5000000
 * PMHAL_PRCM_MOD_CPGMAC0                 | PMHAL_PRCM_CLK_CPSW_CPTS_RFT_CLK       | 200000000, 250000000, 100000000
 * PMHAL_PRCM_MOD_CRYPTODMA               | PMHAL_PRCM_CLK_L3_GCLK                 | 200000000
 * PMHAL_PRCM_MOD_CRYPTODMA               | PMHAL_PRCM_CLK_L3D2_GCLK               | 100000000
 * PMHAL_PRCM_MOD_DCAN0                   | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_DCAN0                   | PMHAL_PRCM_CLK_CAN_CLK                 | 24000000
 * PMHAL_PRCM_MOD_DCAN1                   | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_DCAN1                   | PMHAL_PRCM_CLK_CAN_CLK                 | 24000000
 * PMHAL_PRCM_MOD_DDRPHY                  | PMHAL_PRCM_CLK_EMIF_PHY_GCLK           | 400000000
 * PMHAL_PRCM_MOD_DES                     | PMHAL_PRCM_CLK_L3_GCLK                 | 200000000
 * PMHAL_PRCM_MOD_DLL                     | PMHAL_PRCM_CLK_DDR_DLL_GCLK            | 400000000
 * PMHAL_PRCM_MOD_DLL_AGING               | PMHAL_PRCM_CLK_DLL_AGING_GCLK          | 3000000, 1500000, 750000
 * PMHAL_PRCM_MOD_DSS                     | PMHAL_PRCM_CLK_DSS_GCLK                | 100000000, 250000000, 192000000
 * PMHAL_PRCM_MOD_DSS                     | PMHAL_PRCM_CLK_DSS_L3_GCLK             | 200000000
 * PMHAL_PRCM_MOD_DSS                     | PMHAL_PRCM_CLK_DSS_L4_GCLK_EN          | 100000000
 * PMHAL_PRCM_MOD_DSS                     | PMHAL_PRCM_CLK_DSS_SYSCLK              | 24000000
